Localitate,Judet,Comuna,KM
Sectorul 1,Bucuresti,Sectorul 1,0
Sectorul 2,Bucuresti,Sectorul 2,0
Sectorul 3,Bucuresti,Sectorul 3,0
Sectorul 4,Bucuresti,Sectorul 4,0
Sectorul 5,Bucuresti,Sectorul 5,0
Sectorul 6,Bucuresti,Sectorul 6,0
Alba Iulia,Alba,Alba iulia,0
Arad,Arad,Arad,0
Campulung,Arges,Campulung,0
Pitesti,Arges,Pitesti,0
Bacau,Bacau,Bacau,0
Onesti,Bacau,Onesti,0
Alesd,Bihor,Alesd,0
Oradea,Bihor,Oradea,0
Bistrita,Bistrita-Nasaud,Bistrita,0
Botosani,Botosani,Botosani,0
Braila,Braila,Braila,0
Brasov,Brasov,Brasov,0
Fagaras,Brasov,Fagaras,0
Buzau,Buzau,Buzau,0
Calarasi,Calarasi,Calarasi,0
Resita,Caras-Severin,Resita,0
Cluj-Napoca,Cluj,Cluj-Napoca,0
Dej,Cluj,Dej,0
Turda,Cluj,Turda,0
Constanta,Constanta,Constanta,0
Mangalia,Constanta,Mangalia,0
Medgidia,Constanta,Medgidia,0
Sfantu Gheorghe,Covasna,Sfantu gheorghe,0
Targoviste,Dambovita,Targoviste,0
Craiova,Dolj,Craiova,0
Galati,Galati,Galati,0
Giurgiu,Giurgiu,Giurgiu,0
Targu Jiu,Gorj,Targu jiu,0
Miercurea-Ciuc,Harghita,Miercurea-ciuc,0
Deva,Hunedoara,Deva,0
Petrosani,Hunedoara,Petrosani,0
Slobozia,Ialomita,Slobozia,0
Iasi,Iasi,Iasi,0
1 Decembrie,Ilfov,1 Decembrie,0
Afumati,Ilfov,Afumati,0
Balotesti,Ilfov,Balotesti,0
Dumbraveni,Ilfov,Balotesti,0
Saftica,Ilfov,Balotesti,0
Berceni,Ilfov,Berceni,0
Bragadiru,Ilfov,Bragadiru,0
Branesti,Ilfov,Branesti,0
Pasarea,Ilfov,Branesti,0
Vadu Anei,Ilfov,Branesti,0
Buciumeni,Ilfov,Buftea,0
Buftea,Ilfov,Buftea,0
Balaceanca,Ilfov,Cernica,0
Caldararu,Ilfov,Cernica,0
Cernica,Ilfov,Cernica,0
Posta,Ilfov,Cernica,0
Tanganu,Ilfov,Cernica,0
Chiajna,Ilfov,Chiajna,0
Dudu,Ilfov,Chiajna,0
Rosu,Ilfov,Chiajna,0
Chitila,Ilfov,Chitila,0
Rudeni,Ilfov,Chitila,0
Ciorogarla,Ilfov,Ciorogarla,0
Clinceni,Ilfov,Clinceni,0
Olteni,Ilfov,Clinceni,0
Copaceni,Ilfov,Copaceni,0
Corbeanca,Ilfov,Corbeanca,0
Ostratu,Ilfov,Corbeanca,0
Petresti,Ilfov,Corbeanca,0
Tamasi,Ilfov,Corbeanca,0
Buda,Ilfov,Cornetu,0
Cornetu,Ilfov,Cornetu,0
Darasti-Ilfov,Ilfov,Darasti-Ilfov,0
Creata,Ilfov,Dascalu,0
Dascalu,Ilfov,Dascalu,0
Gagu,Ilfov,Dascalu,0
Runcu,Ilfov,Dascalu,0
Dobroesti,Ilfov,Dobroiesti,0
Fundeni,Ilfov,Dobroiesti,0
Domnesti,Ilfov,Domnesti,0
Dragomiresti-Deal,Ilfov,Dragomiresti-vale,0
Dragomiresti-Vale,Ilfov,Dragomiresti-vale,0
Zurbaua,Ilfov,Dragomiresti-vale,0
Cozieni,Ilfov,Ganeasa,0
Ganeasa,Ilfov,Ganeasa,0
Moara Domneasca,Ilfov,Ganeasa,0
Piteasca,Ilfov,Ganeasa,0
Sindrilita,Ilfov,Ganeasa,0
Catelu,Ilfov,Glina,0
Glina,Ilfov,Glina,0
Manolache,Ilfov,Glina,0
Jilava,Ilfov,Jilava,0
Alunisu,Ilfov,Magurele,0
Dumitrana,Ilfov,Magurele,0
Magurele,Ilfov,Magurele,0
Pruni,Ilfov,Magurele,0
Varteju,Ilfov,Magurele,0
Caciulati,Ilfov,Moara vlasiei,0
Moara Vlasiei,Ilfov,Moara Vlasiei,0
Mogosoaia,Ilfov,Mogosoaia,0
Odaile,Ilfov,Otopeni,0
Otopeni,Ilfov,Otopeni,0
Pantelimon,Ilfov,Pantelimon,0
Maineasca,Ilfov,Petrachioaia,0
Petrachioaia,Ilfov,Petrachioaia,0
Surlari,Ilfov,Petrachioaia,0
Vanatori,Ilfov,Petrachioaia,0
Popesti-Leordeni,Ilfov,Popesti-Leordeni,0
Cretuleasca,Ilfov,Stefanestii de Jos,0
Stefanestii de Jos,Ilfov,Stefanestii de Jos,0
Stefanestii de Sus,Ilfov,Stefanestii de Jos,0
Dimieni,Ilfov,Tunari,0
Tunari,Ilfov,Tunari,0
Cretesti,Ilfov,Vidra,0
Sintesti,Ilfov,Vidra,0
Voluntari,Ilfov,Voluntari,0
Baia Mare,Maramures,Baia mare,0
Sighetu Marmatiei,Maramures,Sighetu marmatiei,0
Drobeta-Turnu Severin,Mehedinti,Drobeta-turnu severin,0
Reghin,Mures,Reghin,0
Targu-Mures,Mures,Targu-mures,0
Tarnaveni,Mures,Tarnaveni,0
Targu Mures,Mures,Targu-mures,0
Piatra Neamt,Neamt,Piatra neamt,0
Roman,Neamt,Roman,0
Targu Neamt,Neamt,Targu Neamt,0
Caracal,Olt,Caracal,0
Slatina,Olt,Slatina,0
Campina,Prahova,Campina,0
Ploiesti,Prahova,Ploiesti,0
Zalau,Salaj,Zalau,0
Satu Mare,Satu Mare,Satu mare,0
Sibiu,Sibiu,Sibiu,0
Campulung Moldovenesc,Suceava,Campulung Moldovenesc,0
Suceava,Suceava,Suceava,0
Alexandria,Teleorman,Alexandria,0
Lugoj,Timis,Lugoj,0
Timisoara,Timis,Timisoara,0
Tulcea,Tulcea,Tulcea,0
Barlad,Vaslui,Barlad,0
Vaslui,Vaslui,Vaslui,0
Ramnicu Valcea,Valcea,Ramnicu valcea,0
Focsani,Vrancea,Focsani,0
Sofia,Sofia,Sofia,0
Plovdiv,Sofia,Plovdiv,0
International,International,International,0
Aiud,Alba,Aiud,0
Aiudul de Sus,Alba,Aiud,0
Ciumbrud,Alba,Aiud,0
Gambas,Alba,Aiud,0
Garbova de Jos,Alba,Aiud,0
Magina,Alba,Aiud,0
Pagida,Alba,Aiud,0
Sancrai,Alba,Aiud,0
Tifra,Alba,Aiud,0
Barabant,Alba,Alba Iulia,0
Micesti,Alba,Alba Iulia,0
Oarda,Alba,Alba Iulia,0
Paclisa,Alba,Alba Iulia,0
Blaj,Alba,Blaj,0
Deleni-Obarsie,Alba,Blaj,0
Flitesti,Alba,Blaj,0
Izvoarele,Alba,Blaj,0
Manarade,Alba,Blaj,0
Petrisat,Alba,Blaj,0
Spatac,Alba,Blaj,0
Tiur,Alba,Blaj,0
Veza,Alba,Blaj,0
Bucerdea Granoasa,Alba,Bucerdea Granoasa,0
Cornu,Alba,Bucerdea Granoasa,0
Padure,Alba,Bucerdea Granoasa,0
Panca,Alba,Bucerdea Granoasa,0
Ciugud,Alba,Ciugud,0
Drambar,Alba,Ciugud,0
Dumbrava,Alba,Ciugud,0
Hapria,Alba,Ciugud,0
Seusa,Alba,Ciugud,0
Teleac,Alba,Ciugud,0
Craciunelu de Jos,Alba,Craciunelu de jos,0
Craiva,Alba,Cricau,0
Cricau,Alba,Cricau,0
Tibru,Alba,Cricau,0
Bocsitura,Alba,Cugir,0
Bucuru,Alba,Cugir,0
Calene,Alba,Cugir,0
Cugir,Alba,Cugir,0
Feteni,Alba,Cugir,0
Goasele,Alba,Cugir,0
Mugesti,Alba,Cugir,0
Vinerea,Alba,Cugir,0
Benic,Alba,Galda de Jos,0
Cetea,Alba,Galda de Jos,0
Galda de Jos,Alba,Galda de Jos,0
Galda de Sus,Alba,Galda de Jos,0
Lupseni,Alba,Galda de Jos,0
Magura,Alba,Galda de Jos,0
Mesentea,Alba,Galda de Jos,0
Oiejdea,Alba,Galda de Jos,0
Poiana Galdei,Alba,Galda de Jos,0
Raicani,Alba,Galda de Jos,0
Zagris,Alba,Galda de Jos,0
Bucerdea Vinoasa,Alba,Ighiu,0
Ighiel,Alba,Ighiu,0
Ighiu,Alba,Ighiu,0
Sard,Alba,Ighiu,0
Telna,Alba,Ighiu,0
Livezile,Alba,Livezile,0
Poiana Aiudului,Alba,Livezile,0
Ampoita,Alba,Metes,0
Isca,Alba,Metes,0
Lunca Ampoitei,Alba,Metes,0
Lunca Metesului,Alba,Metes,0
Metes,Alba,Metes,0
Padurea,Alba,Metes,0
Poiana Ampoiului,Alba,Metes,0
Poiana Ursului,Alba,Metes,0
Presaca Ampoiului,Alba,Metes,0
Remetea,Alba,Metes,0
Tauti,Alba,Metes,0
Valeni,Alba,Metes,0
Cistei,Alba,Mihalt,0
Mihalt,Alba,Mihalt,0
Obreja,Alba,Mihalt,0
Zaries,Alba,Mihalt,0
Pianu,Alba,Pianu,0
Pianu de Jos,Alba,Pianu,0
Pianu de Sus,Alba,Pianu,0
Leorint,Alba,Radesti,0
Mescreac,Alba,Radesti,0
Radesti,Alba,Radesti,0
Soimus,Alba,Radesti,0
Margineni,Alba,Salistea,0
Salistea,Alba,Salistea,0
Salistea-Deal,Alba,Salistea,0
Tartaria,Alba,Salistea,0
Coslariu,Alba,Santimbru,0
Dumitra,Alba,Santimbru,0
Galtiu,Alba,Santimbru,0
Santimbru,Alba,Santimbru,0
Totoi,Alba,Santimbru,0
Lancram,Alba,Sebes,0
Petresti,Alba,Sebes,0
Rahau,Alba,Sebes,0
Sebes,Alba,Sebes,0
Balomiru de Camp,Alba,Sibot,0
Sibot,Alba,Sibot,0
Fata Pietrii,Alba,Stremt,0
Geoagiu de Sus,Alba,Stremt,0
Geomal,Alba,Stremt,0
Stremt,Alba,Stremt,0
Beldiu,Alba,Teius,0
Coslariu Nou,Alba,Teius,0
Petelca,Alba,Teius,0
Teius,Alba,Teius,0
Inoc,Alba,Unirea,0
Campu Goblii,Alba,Vintu de Jos,0
Ciocasu,Alba,Vintu de Jos,0
Criseni,Alba,Vintu de Jos,0
Dealu Ferului,Alba,Vintu de Jos,0
Gura Cutului,Alba,Vintu de Jos,0
Hategana,Alba,Vintu de Jos,0
Inuri,Alba,Vintu de Jos,0
Laz,Alba,Vintu de Jos,0
Matacina,Alba,Vintu de Jos,0
Mereteu,Alba,Vintu de Jos,0
Parau lui Mihai,Alba,Vintu de Jos,0
Poienita,Alba,Vintu de Jos,0
Stauini,Alba,Vintu de Jos,0
Valea Goblii,Alba,Vintu de Jos,0
Valea lui Mihai,Alba,Vintu de Jos,0
Valea Vintului,Alba,Vintu de Jos,0
Vintu de Jos,Alba,Vintu de Jos,0
Vurpar,Alba,Vintu de Jos,0
Botesti,Alba,Zlatna,0
Budeni,Alba,Zlatna,0
Dealu Roatei,Alba,Zlatna,0
Dobrot,Alba,Zlatna,0
Dumbrava,Alba,Zlatna,0
Fenes,Alba,Zlatna,0
Galati,Alba,Zlatna,0
Izvoru Ampoiului,Alba,Zlatna,0
Parau Gruiului,Alba,Zlatna,0
Patrangeni,Alba,Zlatna,0
Pirita,Alba,Zlatna,0
Podu lui Paul,Alba,Zlatna,0
Runc,Alba,Zlatna,0
Rusi,Alba,Zlatna,0
Suseni,Alba,Zlatna,0
Trampoiele,Alba,Zlatna,0
Valea Mica,Alba,Zlatna,0
Valtori,Alba,Zlatna,0
Zlatna,Alba,Zlatna,0
Chisineu-Cris,Arad,Chisineu-Cris,0
Nadab,Arad,Chisineu-cris,0
Covasint,Arad,Covasint,0
Curtici,Arad,Curtici,0
Dorobanti,Arad,Curtici,0
Fantanele,Arad,Fantanele,0
Tisa Noua,Arad,Fantanele,0
Calugareni,Arad,Felnac,0
Felnac,Arad,Felnac,0
Alunis,Arad,Frumuseni,0
Frumuseni,Arad,Frumuseni,0
Cuvin,Arad,Ghioroc,0
Ghioroc,Arad,Ghioroc,0
Minis,Arad,Ghioroc,0
Ineu,Arad,Ineu,0
Iratosu,Arad,Iratosu,0
Variasu Mare,Arad,Iratosu,0
Variasu Mic,Arad,Iratosu,0
Lipova,Arad,Lipova,0
Radna,Arad,Lipova,0
Soimos,Arad,Lipova,0
Livada,Arad,Livada,0
Sanleani,Arad,Livada,0
Macea,Arad,Macea,0
Sanmartin,Arad,Macea,0
Nadlac,Arad,Nadlac,0
Pancota,Arad,Pancota,0
Baratca,Arad,Paulis,0
Paulis,Arad,Paulis,0
Sambateni,Arad,Paulis,0
Bodrogu Vechi,Arad,Pecica,0
Pecica,Arad,Pecica,0
Sederhat,Arad,Pecica,0
Turnu,Arad,Pecica,0
Peregu Mare,Arad,Peregu Mare,0
Peregu Mic,Arad,Peregu Mare,0
Cruceni,Arad,Sagu,0
Firiteaz,Arad,Sagu,0
Fiscut,Arad,Sagu,0
Hunedoara Timisana,Arad,Sagu,0
Sagu,Arad,Sagu,0
Caporal Alexa,Arad,Santana,0
Santana,Arad,Santana,0
Seitin,Arad,Seitin,0
Seleus,Arad,Seleus,0
Semlac,Arad,Semlac,0
Simand,Arad,Simand,0
Sintea Mare,Arad,Sintea Mare,0
Galsa,Arad,Siria,0
Masca,Arad,Siria,0
Siria,Arad,Siria,0
Sanpaul,Arad,Sofronea,0
Sofronea,Arad,Sofronea,0
Mailat,Arad,Vinga,0
Manastur,Arad,Vinga,0
Vinga,Arad,Vinga,0
Cicir,Arad,Vladimirescu,0
Horia,Arad,Vladimirescu,0
Mandruloc,Arad,Vladimirescu,0
Vladimirescu,Arad,Vladimirescu,0
Chesint,Arad,Zabrani,0
Neudorf,Arad,Zabrani,0
Zabrani,Arad,Zabrani,0
Bodrogu Nou,Arad,Zadareni,0
Zadareni,Arad,Zadareni,0
Andrei Saguna,Arad,Zimandu Nou,0
Zimandcuz,Arad,Zimandu Nou,0
Zimandu Nou,Arad,Zimandu Nou,0
Albesti,Arges,Albestii de Muscel,0
Albestii de Muscel,Arges,Albestii de Muscel,0
Candesti,Arges,Albestii de Muscel,0
Albota,Arges,Albota,0
Cerbu,Arges,Albota,0
Fratesti,Arges,Albota,0
Gura Vaii,Arges,Albota,0
Mares,Arges,Albota,0
Babana,Arges,Babana,0
Bajanesti,Arges,Babana,0
Ciobanesti,Arges,Babana,0
Cotmenita,Arges,Babana,0
Grosi,Arges,Babana,0
Lupueni,Arges,Babana,0
Slatioarele,Arges,Babana,0
Argesani,Arges,Baiculesti,0
Baiculesti,Arges,Baiculesti,0
Manicesti,Arges,Baiculesti,0
Stejari,Arges,Baiculesti,0
Zigoneni,Arges,Baiculesti,0
Bascov,Arges,Bascov,0
Braileni,Arges,Bascov,0
Glambocu,Arges,Bascov,0
Mica,Arges,Bascov,0
Prislopu Mic,Arges,Bascov,0
Schiau,Arges,Bascov,0
Uiasca,Arges,Bascov,0
Valea Ursului,Arges,Bascov,0
Bradu,Arges,Bradu,0
Geamana,Arges,Bradu,0
Budeasa,Arges,Budeasa,0
Budeasa Mare,Arges,Budeasa,0
Budeasa Mica,Arges,Budeasa,0
Calotesti,Arges,Budeasa,0
Galasesti,Arges,Budeasa,0
Rogojina,Arges,Budeasa,0
Valea Marului,Arges,Budeasa,0
Bughea de Jos,Arges,Bughea de Jos,0
Bughea de Sus,Arges,Bughea de Sus,0
Bujoreni,Arges,Buzoesti,0
Buzoesti,Arges,Buzoesti,0
Cornatel,Arges,Buzoesti,0
Curteanca,Arges,Buzoesti,0
Ionesti,Arges,Buzoesti,0
Podeni,Arges,Buzoesti,0
Redea,Arges,Buzoesti,0
Serboeni,Arges,Buzoesti,0
Vladuta,Arges,Buzoesti,0
Vulpesti,Arges,Buzoesti,0
Calinesti,Arges,Calinesti,0
Ciocanesti,Arges,Calinesti,0
Glodu,Arges,Calinesti,0
Gorganu,Arges,Calinesti,0
Radu Negru,Arges,Calinesti,0
Rancaciov,Arges,Calinesti,0
Udeni-Zavoi,Arges,Calinesti,0
Valeni-Podgoria,Arges,Calinesti,0
Vranesti,Arges,Calinesti,0
Valea Rumanestilor,Arges,Campulung,0
Catanele,Arges,Cateasca,0
Cateasca,Arges,Cateasca,0
Coseri,Arges,Cateasca,0
Gruiu,Arges,Cateasca,0
Cetateni,Arges,Cetateni,0
Laicai,Arges,Cetateni,0
Valea Cetatuia,Arges,Cetateni,0
Cosesti,Arges,Cosesti,0
Jupanesti,Arges,Cosesti,0
Lapusani,Arges,Cosesti,0
Leicesti,Arges,Cosesti,0
Pacioiu,Arges,Cosesti,0
Petresti,Arges,Cosesti,0
Priseaca,Arges,Cosesti,0
Brosteni,Arges,Costesti,0
Costesti,Arges,Costesti,0
Laceni,Arges,Costesti,0
Parvu Rosu,Arges,Costesti,0
Podu Brosteni,Arges,Costesti,0
Smei,Arges,Costesti,0
Starci,Arges,Costesti,0
Curtea de Arges,Arges,Curtea de Arges,0
Noaptes,Arges,Curtea de Arges,0
Darmanesti,Arges,Darmanesti,0
Negreni,Arges,Darmanesti,0
Piscani,Arges,Darmanesti,0
Contesti,Arges,Davidesti,0
Davidesti,Arges,Davidesti,0
Draganu,Arges,Draganu,0
Draganu-Olteni,Arges,Draganu,0
Dumbravesti,Arges,Draganu,0
Prislopu Mare,Arges,Draganu,0
Bordeieni,Arges,Godeni,0
Capu Piscului,Arges,Godeni,0
Cotesti,Arges,Godeni,0
Godeni,Arges,Godeni,0
Malu,Arges,Godeni,0
Baloteasca,Arges,Leordeni,0
Bantau,Arges,Leordeni,0
Budisteni,Arges,Leordeni,0
Carciumaresti,Arges,Leordeni,0
Ciulnita,Arges,Leordeni,0
Cotu Malului,Arges,Leordeni,0
Glodu,Arges,Leordeni,0
Schitu Scoicesti,Arges,Leordeni,0
Leresti,Arges,Leresti,0
Pojorata,Arges,Leresti,0
Voinesti,Arges,Leresti,0
Bumbueni,Arges,Lunca Corbului,0
Catane,Arges,Lunca Corbului,0
Ciesti,Arges,Lunca Corbului,0
Langesti,Arges,Lunca Corbului,0
Lunca Corbului,Arges,Lunca Corbului,0
Silisteni,Arges,Lunca Corbului,0
Argeselu,Arges,Maracineni,0
Maracineni,Arges,Maracineni,0
Borlesti,Arges,Merisani,0
Capu Piscului,Arges,Merisani,0
Dobrogostea,Arges,Merisani,0
Merisani,Arges,Merisani,0
Varzaru,Arges,Merisani,0
Branzari,Arges,Micesti,0
Micesti,Arges,Micesti,0
Pauleasca,Arges,Micesti,0
Purcareni,Arges,Micesti,0
Draghici,Arges,Mihaesti,0
Furnicosi,Arges,Mihaesti,0
Mihaesti,Arges,Mihaesti,0
Rudeni,Arges,Mihaesti,0
Vacarea,Arges,Mihaesti,0
Valea Bradului,Arges,Mihaesti,0
Valea Popii,Arges,Mihaesti,0
Alunis,Arges,Mioarele,0
Chilii,Arges,Mioarele,0
Cocenesti,Arges,Mioarele,0
Matau,Arges,Mioarele,0
Mioarele,Arges,Mioarele,0
Clucereasa,Arges,Mioveni,0
Colibasi,Arges,Mioveni,0
Fagetu,Arges,Mioveni,0
Mioveni,Arges,Mioveni,0
Racovita,Arges,Mioveni,0
Ciocanai,Arges,Mosoaia,0
Dealu Viilor,Arges,Mosoaia,0
Hintesti,Arges,Mosoaia,0
Lazaresti,Arges,Mosoaia,0
Mosoaia,Arges,Mosoaia,0
Smeura,Arges,Mosoaia,0
Ceausesti,Arges,Oarja,0
Oarja,Arges,Oarja,0
Badesti,Arges,Pietrosani,0
Ganesti,Arges,Pietrosani,0
Pietrosani,Arges,Pietrosani,0
Retevoiesti,Arges,Pietrosani,0
Varzaroaia,Arges,Pietrosani,0
Catunasi,Arges,Poiana Lacului,0
Cepari,Arges,Poiana Lacului,0
Dealu Orasului,Arges,Poiana Lacului,0
Dealu Viilor,Arges,Poiana Lacului,0
Dinculesti,Arges,Poiana Lacului,0
Galcesti,Arges,Poiana Lacului,0
Galeteanu,Arges,Poiana Lacului,0
Gardinesti,Arges,Poiana Lacului,0
Metofu,Arges,Poiana Lacului,0
Paduroiu din Deal,Arges,Poiana Lacului,0
Paduroiu din Vale,Arges,Poiana Lacului,0
Poiana Lacului,Arges,Poiana Lacului,0
Samara,Arges,Poiana Lacului,0
Grosani,Arges,Poienarii de Muscel,0
Jugur,Arges,Poienarii de Muscel,0
Poienari,Arges,Poienarii de Muscel,0
Poienarii de Muscel,Arges,Poienarii de Muscel,0
Serbanesti,Arges,Poienarii de Muscel,0
Valea Indarat,Arges,Poienarii de Muscel,0
Albotele,Arges,Priboieni,0
Paraschivesti,Arges,Priboieni,0
Pitoi,Arges,Priboieni,0
Priboieni,Arges,Priboieni,0
Samaila,Arges,Priboieni,0
Valea Mare,Arges,Priboieni,0
Valea Nenii,Arges,Priboieni,0
Valea Popii,Arges,Priboieni,0
Lipia,Arges,Sapata,0
Burnesti,Arges,Schitu Golesti,0
Costita,Arges,Schitu Golesti,0
Lazaresti,Arges,Schitu Golesti,0
Loturi,Arges,Schitu Golesti,0
Schitu Golesti,Arges,Schitu Golesti,0
Valea Pechii,Arges,Schitu Golesti,0
Dealu Frumos,Arges,Stalpeni,0
Livezeni,Arges,Stalpeni,0
Ogrezea,Arges,Stalpeni,0
Opresti,Arges,Stalpeni,0
Pitigaia,Arges,Stalpeni,0
Radesti,Arges,Stalpeni,0
Stalpeni,Arges,Stalpeni,0
Enculesti,Arges,Stefanesti,0
Golesti,Arges,Stefanesti,0
Izvorani,Arges,Stefanesti,0
Stefanesti,Arges,Stefanesti,0
Stefanestii Noi,Arges,Stefanesti,0
Valea Mare-Podgoria,Arges,Stefanesti,0
Viisoara,Arges,Stefanesti,0
Zavoi,Arges,Stefanesti,0
Badeni,Arges,Stoenesti,0
Cotenesti,Arges,Stoenesti,0
Lunca Gartii,Arges,Stoenesti,0
Piatra,Arges,Stoenesti,0
Slobozia,Arges,Stoenesti,0
Stoenesti,Arges,Stoenesti,0
Valea Badenilor,Arges,Stoenesti,0
Burdesti,Arges,Suseni,0
Cersani,Arges,Suseni,0
Chiritesti,Arges,Suseni,0
Galasesti,Arges,Suseni,0
Odaeni,Arges,Suseni,0
Padureni,Arges,Suseni,0
Stefanesti,Arges,Suseni,0
Strambeni,Arges,Suseni,0
Suseni,Arges,Suseni,0
Tutulesti,Arges,Suseni,0
Bucsenesti-Lotasi,Arges,Titesti,0
Cismea,Arges,Titesti,0
Titesti,Arges,Titesti,0
Valea Manastirii,Arges,Titesti,0
Valea Stanii,Arges,Titesti,0
Botarcani,Arges,Topoloveni,0
Crintesti,Arges,Topoloveni,0
Goranesti,Arges,Topoloveni,0
Tiganesti,Arges,Topoloveni,0
Topoloveni,Arges,Topoloveni,0
Badila,Arges,Valea Iasului,0
Barbalatesti,Arges,Valea Iasului,0
Borovinesti,Arges,Valea Iasului,0
Cerbureni,Arges,Valea Iasului,0
Mustatesti,Arges,Valea Iasului,0
Ruginoasa,Arges,Valea Iasului,0
Ungureni,Arges,Valea Iasului,0
Valea Iasului,Arges,Valea Iasului,0
Valea Uleiului,Arges,Valea Iasului,0
Bilcesti,Arges,Valea Mare-Pravat,0
Colnic,Arges,Valea Mare-Pravat,0
Fantanea,Arges,Valea Mare-Pravat,0
Gura Pravat,Arges,Valea Mare-Pravat,0
Namaesti,Arges,Valea Mare-Pravat,0
Pietroasa,Arges,Valea Mare-Pravat,0
Selari,Arges,Valea Mare-Pravat,0
Valea Mare-Pravat,Arges,Valea Mare-Pravat,0
Badicea,Arges,Vedea,0
Blejani,Arges,Vedea,0
Buretesti,Arges,Vedea,0
Ciuresti,Arges,Vedea,0
Dincani,Arges,Vedea,0
Izvoru de Jos,Arges,Vedea,0
Izvoru de Sus,Arges,Vedea,0
Lungani,Arges,Vedea,0
Mogosesti,Arges,Vedea,0
Prodani,Arges,Vedea,0
Ratoi,Arges,Vedea,0
Varsesti,Arges,Vedea,0
Vedea,Arges,Vedea,0
Ardeoani,Bacau,Ardeoani,0
Leontinesti,Bacau,Ardeoani,0
Asau,Bacau,Asau,0
Ciobanus,Bacau,Asau,0
Lunca Asau,Bacau,Asau,0
Straja,Bacau,Asau,0
Albele,Bacau,Barsanesti,0
Barsanesti,Bacau,Barsanesti,0
Bratesti,Bacau,Barsanesti,0
Caraclau,Bacau,Barsanesti,0
Beresti-Bistrita,Bacau,Beresti-Bistrita,0
Brad,Bacau,Beresti-Bistrita,0
Climesti,Bacau,Beresti-Bistrita,0
Dumbrava,Bacau,Beresti-Bistrita,0
Padureni,Bacau,Beresti-Bistrita,0
Berzunti,Bacau,Berzunti,0
Buda,Bacau,Berzunti,0
Dragomir,Bacau,Berzunti,0
Blagesti,Bacau,Blagesti,0
Buda,Bacau,Blagesti,0
Poiana Negustorului,Bacau,Blagesti,0
Tardenii Mari,Bacau,Blagesti,0
Valea lui Ion,Bacau,Blagesti,0
Bogdanesti,Bacau,Bogdanesti,0
Filipesti,Bacau,Bogdanesti,0
Buciumi,Bacau,Buciumi,0
Racauti,Bacau,Buciumi,0
Bijghir,Bacau,Buhoci,0
Buhocel,Bacau,Buhoci,0
Buhoci,Bacau,Buhoci,0
Coteni,Bacau,Buhoci,0
Dospinesti,Bacau,Buhoci,0
Buhusi,Bacau,Buhusi,0
Marginea,Bacau,Buhusi,0
Runcu,Bacau,Buhusi,0
Blidari,Bacau,Caiuti,0
Boistea,Bacau,Caiuti,0
Caiuti,Bacau,Caiuti,0
Floresti,Bacau,Caiuti,0
Heltiu,Bacau,Caiuti,0
Marcesti,Bacau,Caiuti,0
Popeni,Bacau,Caiuti,0
Pralea,Bacau,Caiuti,0
Vranceni,Bacau,Caiuti,0
Casin,Bacau,Casin,0
Curita,Bacau,Casin,0
Cleja,Bacau,Cleja,0
Somusca,Bacau,Cleja,0
Valea Mica,Bacau,Cleja,0
Comanesti,Bacau,Comanesti,0
Podei,Bacau,Comanesti,0
Vermesti,Bacau,Comanesti,0
Bacioiu,Bacau,Corbasca,0
Corbasca,Bacau,Corbasca,0
Marvila,Bacau,Corbasca,0
Poglet,Bacau,Corbasca,0
Scarisoara,Bacau,Corbasca,0
Valcele,Bacau,Corbasca,0
Balca,Bacau,Cotofanesti,0
Boistea de Jos,Bacau,Cotofanesti,0
Borsani,Bacau,Cotofanesti,0
Cotofanesti,Bacau,Cotofanesti,0
Tamasoaia,Bacau,Cotofanesti,0
Calugareni,Bacau,Damienesti,0
Damienesti,Bacau,Damienesti,0
Dragesti,Bacau,Damienesti,0
Padureni,Bacau,Damienesti,0
Darmaneasca,Bacau,Darmanesti,0
Darmanesti,Bacau,Darmanesti,0
Lapos,Bacau,Darmanesti,0
Pagubeni,Bacau,Darmanesti,0
Plopu,Bacau,Darmanesti,0
Salatruc,Bacau,Darmanesti,0
Bogata,Bacau,Dofteana,0
Cucuieti,Bacau,Dofteana,0
Dofteana,Bacau,Dofteana,0
Haghiac,Bacau,Dofteana,0
Larga,Bacau,Dofteana,0
Seaca,Bacau,Dofteana,0
Stefan Voda,Bacau,Dofteana,0
Faraoani,Bacau,Faraoani,0
Balaia,Bacau,Filipeni,0
Brad,Bacau,Filipeni,0
Filipeni,Bacau,Filipeni,0
Fruntesti,Bacau,Filipeni,0
Marasti,Bacau,Filipeni,0
Padureni,Bacau,Filipeni,0
Slobozia,Bacau,Filipeni,0
Valea Botului,Bacau,Filipeni,0
Boanta,Bacau,Filipesti,0
Carligi,Bacau,Filipesti,0
Cornesti,Bacau,Filipesti,0
Cotu Grosului,Bacau,Filipesti,0
Filipesti,Bacau,Filipesti,0
Galbeni,Bacau,Filipesti,0
Harlesti,Bacau,Filipesti,0
Oniscani,Bacau,Filipesti,0
Hutu,Bacau,Gaiceana,0
Garleni,Bacau,Garleni,0
Garlenii de Sus,Bacau,Garleni,0
Lespezi,Bacau,Garleni,0
Surina,Bacau,Garleni,0
Gioseni,Bacau,Gioseni,0
Capata,Bacau,Gura Vaii,0
Dumbrava,Bacau,Gura Vaii,0
Motocesti,Bacau,Gura Vaii,0
Paltinata,Bacau,Gura Vaii,0
Temelia,Bacau,Gura Vaii,0
